Rb1,5p3/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
607.68000,-93.38,11.07,-53.66,3.04
607.70000,-93.56,11.07,-53.57,3.04
607.72000,-93.75,11.07,-53.48,3.04
607.74000,-93.94,11.08,-53.39,3.04
607.76000,-94.12,11.08,-53.29,3.05
607.78000,-94.31,11.08,-53.20,3.05
607.80000,-94.50,11.08,-53.11,3.05
607.82000,-94.69,11.09,-53.02,3.05
607.84000,-94.88,11.09,-52.92,3.05
607.86000,-95.07,11.09,-52.83,3.05
607.88000,-95.26,11.10,-52.74,3.05
607.90000,-95.45,11.10,-52.64,3.05
607.92000,-95.64,11.10,-52.55,3.05
607.94000,-95.84,11.11,-52.45,3.05
607.96000,-96.03,11.11,-52.35,3.05
607.98000,-96.22,11.11,-52.26,3.05
608.00000,-96.42,11.12,-52.16,3.05
608.02000,-96.61,11.12,-52.06,3.05
608.04000,-96.81,11.12,-51.96,3.05
608.06000,-97.01,11.13,-51.87,3.05
608.08000,-97.20,11.13,-51.77,3.05
608.10000,-97.40,11.13,-51.67,3.05
608.12000,-97.60,11.13,-51.57,3.05
608.14000,-97.80,11.14,-51.46,3.06
608.16000,-98.00,11.14,-51.36,3.06
608.18000,-98.20,11.14,-51.26,3.06
608.20000,-98.40,11.15,-51.16,3.06
608.22000,-98.60,11.15,-51.06,3.06
608.24000,-98.81,11.15,-50.95,3.06
608.26000,-99.01,11.16,-50.85,3.06
608.28000,-99.21,11.16,-50.74,3.06
608.30000,-99.42,11.16,-50.64,3.06
608.32000,-99.62,11.17,-50.53,3.06
608.34000,-99.83,11.17,-50.42,3.06
608.36000,-100.04,11.17,-50.32,3.06
608.38000,-100.24,11.18,-50.21,3.06
608.40000,-100.45,11.18,-50.10,3.06
608.42000,-100.66,11.18,-49.99,3.06
608.44000,-100.87,11.19,-49.88,3.06
608.46000,-101.08,11.19,-49.77,3.06
608.48000,-101.29,11.19,-49.66,3.06
608.50000,-101.50,11.20,-49.55,3.07
608.52000,-101.72,11.20,-49.44,3.07
608.54000,-101.93,11.20,-49.32,3.07
608.56000,-102.14,11.21,-49.21,3.07
608.58000,-102.36,11.21,-49.10,3.07
608.60000,-102.57,11.21,-48.98,3.07
608.62000,-102.79,11.22,-48.87,3.07
608.64000,-103.01,11.22,-48.75,3.07
608.66000,-103.23,11.22,-48.63,3.07
608.68000,-103.44,11.23,-48.51,3.07
608.70000,-103.66,11.23,-48.40,3.07
608.72000,-103.88,11.23,-48.28,3.07
608.74000,-104.11,11.24,-48.16,3.07
608.76000,-104.33,11.24,-48.04,3.07
608.78000,-104.55,11.24,-47.92,3.07
608.80000,-104.77,11.25,-47.80,3.07
608.82000,-105.00,11.25,-47.67,3.08
608.84000,-105.22,11.25,-47.55,3.08
608.86000,-105.45,11.26,-47.43,3.08
608.88000,-105.68,11.26,-47.30,3.08
608.90000,-105.91,11.26,-47.18,3.08
608.92000,-106.14,11.27,-47.05,3.08
608.94000,-106.36,11.27,-46.92,3.08
608.96000,-106.60,11.27,-46.80,3.08
608.98000,-106.83,11.28,-46.67,3.08
609.00000,-107.06,11.28,-46.54,3.08
609.02000,-107.29,11.28,-46.41,3.08
609.04000,-107.53,11.29,-46.28,3.08
609.06000,-107.76,11.29,-46.15,3.08
609.08000,-108.00,11.29,-46.02,3.08
609.10000,-108.24,11.30,-45.88,3.09
609.12000,-108.47,11.30,-45.75,3.09
609.14000,-108.71,11.30,-45.61,3.09
609.16000,-108.95,11.31,-45.48,3.09
609.18000,-109.19,11.31,-45.34,3.09
609.20000,-109.43,11.31,-45.21,3.09
609.22000,-109.68,11.32,-45.07,3.09
609.24000,-109.92,11.32,-44.93,3.09
609.26000,-110.17,11.32,-44.79,3.09
609.28000,-110.41,11.33,-44.65,3.09
609.30000,-110.66,11.33,-44.51,3.09
609.32000,-110.91,11.33,-44.37,3.09
609.34000,-111.16,11.34,-44.22,3.09
609.36000,-111.41,11.34,-44.08,3.09
609.38000,-111.66,11.34,-43.93,3.10
609.40000,-111.91,11.35,-43.79,3.10
609.42000,-112.16,11.35,-43.64,3.10
609.44000,-112.41,11.35,-43.49,3.10
609.46000,-112.67,11.36,-43.34,3.10
609.48000,-112.93,11.36,-43.19,3.10
609.50000,-113.18,11.36,-43.04,3.10
609.52000,-113.44,11.37,-42.89,3.10
609.54000,-113.70,11.37,-42.74,3.10
609.56000,-113.96,11.38,-42.59,3.10
609.58000,-114.22,11.38,-42.43,3.10
609.60000,-114.49,11.38,-42.28,3.10
609.62000,-114.75,11.39,-42.12,3.11
609.64000,-115.02,11.39,-41.96,3.11
609.66000,-115.28,11.39,-41.80,3.11
609.68000,-115.55,11.40,-41.65,3.11
609.70000,-115.82,11.40,-41.48,3.11
609.72000,-116.09,11.40,-41.32,3.11
609.74000,-116.36,11.41,-41.16,3.11
609.76000,-116.63,11.41,-41.00,3.11
609.78000,-116.91,11.41,-40.83,3.11
609.80000,-117.18,11.42,-40.67,3.11
609.82000,-117.46,11.42,-40.50,3.11
609.84000,-117.73,11.43,-40.33,3.11
609.86000,-118.01,11.43,-40.16,3.12
609.88000,-118.29,11.43,-39.99,3.12
609.90000,-118.57,11.44,-39.82,3.12
609.92000,-118.86,11.44,-39.65,3.12
609.94000,-119.14,11.44,-39.47,3.12
609.96000,-119.43,11.45,-39.30,3.12
609.98000,-119.71,11.45,-39.12,3.12
610.00000,-120.00,11.46,-38.94,3.12
610.02000,-120.29,11.46,-38.77,3.12
610.04000,-120.58,11.46,-38.59,3.12
610.06000,-120.87,11.47,-38.40,3.13
610.08000,-121.17,11.47,-38.22,3.13
610.10000,-121.46,11.47,-38.04,3.13
610.12000,-121.76,11.48,-37.85,3.13
610.14000,-122.06,11.48,-37.67,3.13
610.16000,-122.35,11.48,-37.48,3.13
610.18000,-122.66,11.49,-37.29,3.13
610.20000,-122.96,11.49,-37.10,3.13
610.22000,-123.26,11.50,-36.91,3.13
610.24000,-123.57,11.50,-36.72,3.13
610.26000,-123.87,11.50,-36.52,3.14
610.28000,-124.18,11.51,-36.33,3.14
610.30000,-124.49,11.51,-36.13,3.14
610.32000,-124.80,11.52,-35.93,3.14
610.34000,-125.12,11.52,-35.73,3.14
610.36000,-125.43,11.52,-35.53,3.14
610.38000,-125.75,11.53,-35.33,3.14
610.40000,-126.07,11.53,-35.12,3.14
610.42000,-126.38,11.53,-34.92,3.14
610.44000,-126.71,11.54,-34.71,3.15
610.46000,-127.03,11.54,-34.50,3.15
610.48000,-127.35,11.55,-34.29,3.15
610.50000,-127.68,11.55,-34.08,3.15
610.52000,-128.01,11.55,-33.87,3.15
610.54000,-128.34,11.56,-33.65,3.15
610.56000,-128.67,11.56,-33.43,3.15
610.58000,-129.00,11.57,-33.22,3.15
610.60000,-129.34,11.57,-33.00,3.15
610.62000,-129.67,11.57,-32.77,3.16
610.64000,-130.01,11.58,-32.55,3.16
610.66000,-130.35,11.58,-32.33,3.16
610.68000,-130.70,11.58,-32.10,3.16
610.70000,-131.04,11.59,-31.87,3.16
610.72000,-131.39,11.59,-31.64,3.16
610.74000,-131.74,11.60,-31.41,3.16
610.76000,-132.09,11.60,-31.18,3.16
610.78000,-132.44,11.60,-30.94,3.17
610.80000,-132.79,11.61,-30.70,3.17
610.82000,-133.15,11.61,-30.46,3.17
610.84000,-133.51,11.62,-30.22,3.17
610.86000,-133.87,11.62,-29.98,3.17
610.88000,-134.23,11.63,-29.74,3.17
610.90000,-134.60,11.63,-29.49,3.17
610.92000,-134.96,11.63,-29.24,3.18
610.94000,-135.33,11.64,-28.99,3.18
610.96000,-135.70,11.64,-28.74,3.18
610.98000,-136.08,11.65,-28.48,3.18
611.00000,-136.45,11.65,-28.23,3.18
611.02000,-136.83,11.65,-27.97,3.18
611.04000,-137.21,11.66,-27.71,3.18
611.06000,-137.59,11.66,-27.44,3.19
611.08000,-137.98,11.67,-27.18,3.19
611.10000,-138.36,11.67,-26.91,3.19
611.12000,-138.75,11.67,-26.64,3.19
611.14000,-139.14,11.68,-26.37,3.19
611.16000,-139.54,11.68,-26.09,3.19
611.18000,-139.94,11.69,-25.82,3.19
611.20000,-140.33,11.69,-25.54,3.20
611.22000,-140.74,11.70,-25.26,3.20
611.24000,-141.14,11.70,-24.98,3.20
611.26000,-141.55,11.70,-24.69,3.20
611.28000,-141.96,11.71,-24.40,3.20
611.30000,-142.37,11.71,-24.11,3.20
611.32000,-142.78,11.72,-23.82,3.21
611.34000,-143.20,11.72,-23.52,3.21
611.36000,-143.62,11.73,-23.23,3.21
611.38000,-144.05,11.73,-22.92,3.21
611.40000,-144.47,11.73,-22.62,3.21
611.42000,-144.90,11.74,-22.32,3.21
611.44000,-145.33,11.74,-22.01,3.22
611.46000,-145.77,11.75,-21.70,3.22
611.48000,-146.20,11.75,-21.38,3.22
611.50000,-146.64,11.76,-21.06,3.22
611.52000,-147.09,11.76,-20.75,3.22
611.54000,-147.53,11.76,-20.42,3.22
611.56000,-147.98,11.77,-20.10,3.23
611.58000,-148.44,11.77,-19.77,3.23
611.60000,-148.89,11.78,-19.44,3.23
611.62000,-149.35,11.78,-19.10,3.23
611.64000,-149.81,11.79,-18.77,3.23
611.66000,-150.28,11.79,-18.43,3.24
611.68000,-150.75,11.80,-18.08,3.24
611.70000,-151.22,11.80,-17.74,3.24
611.72000,-151.69,11.80,-17.39,3.24
611.74000,-152.17,11.81,-17.03,3.24
611.76000,-152.66,11.81,-16.68,3.25
611.78000,-153.14,11.82,-16.32,3.25
611.80000,-153.63,11.82,-15.95,3.25
611.82000,-154.13,11.83,-15.59,3.25
611.84000,-154.62,11.83,-15.22,3.25
611.86000,-155.12,11.84,-14.84,3.26
611.88000,-155.63,11.84,-14.47,3.26
611.90000,-156.14,11.85,-14.09,3.26
611.92000,-156.65,11.85,-13.70,3.26
611.94000,-157.17,11.86,-13.31,3.26
